values(1);values(2);values(3);values(4);
nan;nan;nan;nan;
nan;nan;nan;nan;
nan;nan;nan;nan;
nan;nan;nan;nan;
12.795606;12.92592;12.88059;-0.23012392;
12.797404;12.936077;12.880581;-0.075846277;
12.797404;12.936077;12.880581;-0.075846277;
12.797404;12.936077;12.880581;-0.075846277;
12.795912;12.93477;12.879295;0.10957804;
12.795912;12.93477;12.879295;0.10957804;
12.795912;12.93477;12.879295;0.10957804;
12.795912;12.93477;12.879295;0.10957804;
12.794834;12.932809;12.881218;-0.04582902;
12.794834;12.932809;12.881218;-0.04582902;
12.794834;12.932809;12.881218;-0.04582902;
12.794834;12.932809;12.881218;-0.04582902;
12.79583;12.932371;12.877255;0.057675295;
12.79583;12.932371;12.877255;0.057675295;
12.79583;12.932371;12.877255;0.057675295;
12.79583;12.932371;12.877255;0.057675295;
12.790441;12.928831;12.883305;-0.14576942;
12.790441;12.928831;12.883305;-0.14576942;
12.790441;12.928831;12.883305;-0.14576942;
12.795925;12.931144;12.875171;0.13276863;
12.795925;12.931144;12.875171;0.13276863;
12.795925;12.931144;12.875171;0.13276863;
12.795925;12.931144;12.875171;0.13276863;
12.796261;12.932349;12.874092;-0.0078054904;
12.796261;12.932349;12.874092;-0.0078054904;
12.796261;12.932349;12.874092;-0.0078054904;
12.80126;12.929017;12.875096;0.48065254;
12.80126;12.929017;12.875096;0.48065254;
12.80126;12.929017;12.875096;0.48065254;
12.797513;12.928803;12.875129;0.15969883;
12.797513;12.928803;12.875129;0.15969883;
12.797513;12.928803;12.875129;0.15969883;
12.797513;12.928803;12.875129;0.15969883;
12.795674;12.932794;12.883393;-0.046657253;
12.795674;12.932794;12.883393;-0.046657253;
12.795674;12.932794;12.883393;-0.046657253;
12.795674;12.932794;12.883393;-0.046657253;
12.796772;12.929921;12.877128;0.042365491;
12.796772;12.929921;12.877128;0.042365491;
12.796772;12.929921;12.877128;0.042365491;
12.796758;12.929999;12.875093;-0.07474196;
12.796758;12.929999;12.875093;-0.07474196;
12.796758;12.929999;12.875093;-0.07474196;
12.796758;12.929999;12.875093;-0.07474196;
12.793816;12.930316;12.879669;-0.2215153;
12.793816;12.930316;12.879669;-0.2215153;
12.793816;12.930316;12.879669;-0.2215153;
12.796575;12.931015;12.881108;0.25168315;
12.796575;12.931015;12.881108;0.25168315;
12.796575;12.931015;12.881108;0.25168315;
12.796575;12.931015;12.881108;0.25168315;
12.79677;12.925343;12.880721;0.11577725;
12.79677;12.925343;12.880721;0.11577725;
12.79677;12.925343;12.880721;0.11577725;
12.79677;12.925343;12.880721;0.11577725;
12.796883;12.926858;12.879523;0.082547449;
12.796883;12.926858;12.879523;0.082547449;
12.796883;12.926858;12.879523;0.082547449;
12.798517;12.933137;12.887011;0.32564706;
12.798517;12.933137;12.887011;0.32564706;
12.798517;12.933137;12.887011;0.32564706;
12.798517;12.933137;12.887011;0.32564706;
12.799701;12.927224;12.884073;-0.21953255;
12.799701;12.927224;12.884073;-0.21953255;
12.799701;12.927224;12.884073;-0.21953255;
12.796544;12.931355;12.883823;0.077653334;
12.796544;12.931355;12.883823;0.077653334;
12.796544;12.931355;12.883823;0.077653334;
12.796544;12.931355;12.883823;0.077653334;
12.801097;12.92661;12.878138;0.29675922;
12.801097;12.92661;12.878138;0.29675922;
12.801097;12.92661;12.878138;0.29675922;
12.799149;12.930705;12.878284;0.27941647;
12.799149;12.930705;12.878284;0.27941647;
12.799149;12.930705;12.878284;0.27941647;
12.799149;12.930705;12.878284;0.27941647;
12.801992;12.926175;12.877243;0.12764862;
12.801992;12.926175;12.877243;0.12764862;
12.801992;12.926175;12.877243;0.12764862;
12.801992;12.926175;12.877243;0.12764862;
12.799603;12.922474;12.877103;0.18539922;
12.799603;12.922474;12.877103;0.18539922;
12.799603;12.922474;12.877103;0.18539922;
12.80595;12.92351;12.881584;0.13251765;
12.80595;12.92351;12.881584;0.13251765;
12.80595;12.92351;12.881584;0.13251765;
12.799365;12.928802;12.881845;0.32803136;
12.799365;12.928802;12.881845;0.32803136;
12.799365;12.928802;12.881845;0.32803136;
12.799365;12.928802;12.881845;0.32803136;
12.798529;12.930004;12.87912;0.080338821;
12.798529;12.930004;12.87912;0.080338821;
12.798529;12.930004;12.87912;0.080338821;
12.798212;12.927675;12.877527;-0.11449725;
12.798212;12.927675;12.877527;-0.11449725;
12.798212;12.927675;12.877527;-0.11449725;
12.803613;12.933173;12.881255;-0.090177253;
12.803613;12.933173;12.881255;-0.090177253;
12.803613;12.933173;12.881255;-0.090177253;
12.803613;12.933173;12.881255;-0.090177253;
12.797534;12.9314;12.88148;0.076800004;
12.797534;12.9314;12.88148;0.076800004;
12.797534;12.9314;12.88148;0.076800004;
12.797072;12.930559;12.878282;0.10320314;
12.797072;12.930559;12.878282;0.10320314;
12.797072;12.930559;12.878282;0.10320314;
12.79985;12.935071;12.879484;0.10147137;
12.79985;12.935071;12.879484;0.10147137;
12.79985;12.935071;12.879484;0.10147137;
12.797443;12.930338;12.879051;0.68520159;
12.797443;12.930338;12.879051;0.68520159;
12.797443;12.930338;12.879051;0.68520159;
12.795654;12.930119;12.87847;0.56586039;
12.795654;12.930119;12.87847;0.56586039;
