Time,Vdc,Adc
1678483594.211854, 4.7444e1, 1.4981e1
1678483594.8450181, 4.7443e1, 1.4981e1
1678483595.2595682, 4.7442e1, 1.4981e1
1678483595.7425401, 4.7441e1, 1.4981e1
1678483596.2120707, 4.7440e1, 1.4981e1
1678483596.8447769, 4.7439e1, 1.4981e1
1678483597.2596154, 4.7438e1, 1.4981e1
1678483597.743866, 4.7437e1, 1.4981e1
1678483598.2123976, 4.7437e1, 1.4981e1
1678483598.8448994, 4.7437e1, 1.4981e1
1678483599.2596076, 4.7436e1, 1.4981e1
1678483599.743934, 4.7436e1, 1.4981e1
1678483600.2126255, 4.7435e1, 1.4981e1
1678483600.845067, 4.7434e1, 1.4981e1
1678483601.260656, 4.7433e1, 1.4981e1
1678483601.7437618, 4.7433e1, 1.4981e1
1678483602.2128375, 4.7432e1, 1.4981e1
1678483602.8460214, 4.7431e1, 1.4981e1
1678483603.2606788, 4.7430e1, 1.4981e1
1678483603.7437143, 4.7428e1, 1.4981e1
1678483604.2131023, 4.7427e1, 1.4981e1
1678483604.8462281, 4.7426e1, 1.4981e1
1678483605.2607253, 4.7425e1, 1.4981e1
1678483605.7437663, 4.7424e1, 1.4981e1
1678483606.2133543, 4.7424e1, 1.4981e1
1678483606.846229, 4.7423e1, 1.4981e1
1678483607.2607775, 4.7423e1, 1.4981e1
1678483607.7451143, 4.7421e1, 1.4981e1
1678483608.2136014, 4.7421e1, 1.4981e1
1678483608.8464158, 4.7420e1, 1.4981e1
1678483609.2619195, 4.7419e1, 1.4981e1
1678483609.7449112, 4.7418e1, 1.4981e1
1678483610.2138755, 4.7417e1, 1.4981e1
1678483610.8463182, 4.7417e1, 1.4981e1
1678483611.2619493, 4.7416e1, 1.4981e1
1678483611.7450016, 4.7415e1, 1.4981e1
1678483612.2141333, 4.7415e1, 1.4981e1
1678483612.8470266, 4.7414e1, 1.4981e1
1678483613.2619433, 4.7413e1, 1.4981e1
1678483613.744993, 4.7412e1, 1.4981e1
1678483614.2144325, 4.7412e1, 1.4981e1
1678483614.8474264, 4.7411e1, 1.4981e1
1678483615.2620459, 4.7410e1, 1.4981e1
1678483615.7459898, 4.7410e1, 1.4981e1
1678483616.2146537, 4.7409e1, 1.4981e1
1678483616.8474429, 4.7409e1, 1.4981e1
1678483617.2620459, 4.7409e1, 1.4981e1
1678483617.7460327, 4.7408e1, 1.4981e1
1678483618.2149348, 4.7407e1, 1.4981e1
1678483618.8474813, 4.7406e1, 1.4981e1
1678483619.2630582, 4.7405e1, 1.4981e1
1678483619.7460742, 4.7404e1, 1.4981e1
1678483620.2152107, 4.7403e1, 1.4981e1
1678483620.8476007, 4.7402e1, 1.4981e1
1678483621.263115, 4.7401e1, 1.4981e1
1678483621.7461045, 4.7401e1, 1.4981e1
1678483622.215417, 4.7400e1, 1.4981e1
1678483622.8485548, 4.7400e1, 1.4981e1
1678483623.2631578, 4.7399e1, 1.4981e1
1678483623.7462318, 4.7398e1, 1.4981e1
1678483624.2157006, 4.7398e1, 1.4981e1
1678483624.8486414, 4.7397e1, 1.4981e1
1678483625.2631688, 4.7396e1, 1.4981e1
1678483625.7471898, 4.7396e1, 1.4981e1
1678483626.215938, 4.7395e1, 1.4981e1
1678483626.848705, 4.7394e1, 1.4981e1
1678483627.2631986, 4.7393e1, 1.4981e1
1678483627.7472284, 4.7392e1, 1.4981e1
1678483628.216179, 4.7392e1, 1.4981e1
1678483628.8486304, 4.7391e1, 1.4981e1
1678483629.2643092, 4.7391e1, 1.4981e1
1678483629.7473226, 4.7390e1, 1.4981e1
1678483630.2164416, 4.7389e1, 1.4981e1
1678483630.8499105, 4.7389e1, 1.4981e1
1678483631.2643006, 4.7388e1, 1.4981e1
1678483631.7473328, 4.7388e1, 1.4981e1
1678483632.2166991, 4.7387e1, 1.4981e1
1678483632.8497493, 4.7386e1, 1.4981e1
1678483633.2643647, 4.7384e1, 1.4981e1
1678483633.7474053, 4.7383e1, 1.4981e1
1678483634.2169642, 4.7382e1, 1.4981e1
1678483634.8499365, 4.7382e1, 1.4981e1
1678483635.2643926, 4.7381e1, 1.4981e1
1678483635.7485356, 4.7380e1, 1.4981e1
1678483636.2171948, 4.7380e1, 1.4981e1
1678483636.8499143, 4.7379e1, 1.4981e1
1678483637.265469, 4.7378e1, 1.4981e1
1678483637.7485561, 4.7377e1, 1.4981e1
1678483638.2174735, 4.7376e1, 1.4981e1
1678483638.849822, 4.7375e1, 1.4981e1
1678483639.2655146, 4.7374e1, 1.4981e1
1678483639.7486274, 4.7373e1, 1.4981e1
1678483640.2177703, 4.7373e1, 1.4981e1
1678483640.8510168, 4.7372e1, 1.4981e1
1678483641.2655895, 4.7372e1, 1.4981e1
1678483641.7486362, 4.7371e1, 1.4981e1
1678483642.2180297, 4.7370e1, 1.4981e1
1678483642.8511705, 4.7370e1, 1.4981e1
1678483643.2656207, 4.7369e1, 1.4981e1
1678483643.7499845, 4.7368e1, 1.4981e1
1678483644.2182453, 4.7367e1, 1.4981e1
1678483644.8510604, 4.7366e1, 1.4981e1
1678483645.2656367, 4.7365e1, 1.4981e1
1678483645.7496862, 4.7364e1, 1.4981e1
1678483646.218497, 4.7363e1, 1.4981e1
1678483646.8509986, 4.7362e1, 1.4981e1
1678483647.2666538, 4.7362e1, 1.4981e1
1678483647.749711, 4.7361e1, 1.4981e1
1678483648.2187476, 4.7361e1, 1.4981e1
1678483648.8511503, 4.7360e1, 1.4981e1
1678483649.266721, 4.7359e1, 1.4981e1
1678483649.750147, 4.7358e1, 1.4981e1
1678483650.2189977, 4.7357e1, 1.4981e1
1678483650.851939, 4.7356e1, 1.4981e1
1678483651.2667243, 4.7355e1, 1.4981e1
1678483651.749836, 4.7355e1, 1.4981e1
1678483652.2192624, 4.7354e1, 1.4981e1
1678483652.8525007, 4.7353e1, 1.4981e1
1678483653.2668033, 4.7353e1, 1.4981e1
1678483653.7508051, 4.7352e1, 1.4981e1
1678483654.2195537, 4.7351e1, 1.4981e1
1678483654.8522875, 4.7351e1, 1.4981e1
1678483655.26683, 4.7349e1, 1.4981e1
1678483655.7508264, 4.7347e1, 1.4981e1
1678483656.2197602, 4.7345e1, 1.4981e1
1678483656.8522959, 4.7344e1, 1.4981e1
1678483657.2678738, 4.7343e1, 1.4981e1
1678483657.7508972, 4.7343e1, 1.4981e1
1678483658.220045, 4.7342e1, 1.4981e1
1678483658.8534818, 4.7342e1, 1.4981e1
1678483659.2679226, 4.7341e1, 1.4981e1
1678483659.7509122, 4.7340e1, 1.4981e1
1678483660.2203212, 4.7340e1, 1.4981e1
1678483660.8533702, 4.7339e1, 1.4981e1
1678483661.2679434, 4.7339e1, 1.4981e1
1678483661.7510169, 4.7338e1, 1.4981e1
1678483662.2205567, 4.7338e1, 1.4981e1
1678483662.8533347, 4.7337e1, 1.4981e1
1678483663.2679958, 4.7336e1, 1.4981e1
1678483663.7520509, 4.7334e1, 1.4981e1
1678483664.2208016, 4.7334e1, 1.4981e1
1678483664.8530796, 4.7333e1, 1.4981e1
1678483665.2680504, 4.7332e1, 1.4981e1
1678483665.7520945, 4.7332e1, 1.4981e1
1678483666.2210736, 4.7331e1, 1.4981e1
1678483666.8535802, 4.7330e1, 1.4981e1
1678483667.2691236, 4.7329e1, 1.4981e1
1678483667.7521656, 4.7329e1, 1.4981e1
1678483668.2215605, 4.7329e1, 1.4981e1
1678483668.8545563, 4.7328e1, 1.4981e1
1678483669.2691793, 4.7327e1, 1.4981e1
1678483669.7521777, 4.7326e1, 1.4981e1
1678483670.2216299, 4.7326e1, 1.4981e1
1678483670.854563, 4.7325e1, 1.4981e1
1678483671.2692182, 4.7325e1, 1.4981e1
1678483671.7532947, 4.7324e1, 1.4981e1
1678483672.2218657, 4.7323e1, 1.4981e1
1678483672.8546038, 4.7321e1, 1.4981e1
1678483673.269263, 4.7320e1, 1.4981e1
1678483673.7532744, 4.7319e1, 1.4981e1
1678483674.2220278, 4.7319e1, 1.4981e1
1678483674.854712, 4.7322e1, 1.4981e1
1678483675.2702527, 4.7324e1, 1.4981e1
1678483675.753474, 4.7326e1, 1.4981e1
1678483676.2223465, 4.7327e1, 1.4981e1
1678483676.8548856, 4.7325e1, 1.4981e1
1678483677.2703438, 4.7324e1, 1.4981e1
1678483677.7534277, 4.7323e1, 1.4981e1
1678483678.2226408, 4.7322e1, 1.4981e1
1678483678.855637, 4.7322e1, 1.4981e1
1678483679.2704184, 4.7321e1, 1.4981e1
1678483679.7534032, 4.7320e1, 1.4981e1
1678483680.222908, 4.7317e1, 1.4981e1
1678483680.855776, 4.7315e1, 1.4981e1
1678483681.270442, 4.7314e1, 1.4981e1
1678483681.7545989, 4.7313e1, 1.4981e1
1678483682.2231348, 4.7313e1, 1.4981e1
1678483682.8558328, 4.7312e1, 1.4981e1
1678483683.2704344, 4.7311e1, 1.4981e1
1678483683.7544534, 4.7310e1, 1.4981e1
1678483684.2233624, 4.7309e1, 1.4981e1
1678483684.8556724, 4.7307e1, 1.4981e1
1678483685.2714732, 4.7306e1, 1.4981e1
1678483685.75447, 4.7306e1, 1.4981e1
1678483686.2236187, 4.7305e1, 1.4981e1
1678483686.8569462, 4.7305e1, 1.4981e1
1678483687.2715144, 4.7305e1, 1.4981e1
1678483687.7545216, 4.7304e1, 1.4981e1
1678483688.2238946, 4.7304e1, 1.4981e1
1678483688.8570266, 4.7304e1, 1.4981e1
1678483689.2716095, 4.7304e1, 1.4981e1
1678483689.754571, 4.7304e1, 1.4981e1
1678483690.2241607, 4.7303e1, 1.4981e1
1678483690.8568082, 4.7301e1, 1.4981e1
1678483691.271613, 4.7300e1, 1.4981e1
1678483691.7556438, 4.7299e1, 1.4981e1
1678483692.2244763, 4.7298e1, 1.4981e1
1678483692.857121, 4.7297e1, 1.4981e1
1678483693.2716458, 4.7296e1, 1.4981e1
1678483693.755709, 4.7295e1, 1.4981e1
1678483694.2246513, 4.7294e1, 1.4981e1
1678483694.857119, 4.7294e1, 1.4981e1
1678483695.2727273, 4.7293e1, 1.4981e1
1678483695.755725, 4.7293e1, 1.4981e1
1678483696.224924, 4.7292e1, 1.4981e1
1678483696.8580232, 4.7291e1, 1.4981e1
1678483697.2728198, 4.7290e1, 1.4981e1
1678483697.7557757, 4.7290e1, 1.4981e1
1678483698.2252321, 4.7289e1, 1.4981e1
1678483698.8580115, 4.7288e1, 1.4981e1
1678483699.2728093, 4.7288e1, 1.4981e1
1678483699.7568228, 4.7287e1, 1.4981e1
1678483700.2254379, 4.7287e1, 1.4981e1
1678483700.8580477, 4.7286e1, 1.4981e1
1678483701.2728612, 4.7285e1, 1.4981e1
1678483701.7568781, 4.7284e1, 1.4981e1
1678483702.2256174, 4.7284e1, 1.4981e1
1678483702.8580575, 4.7284e1, 1.4981e1
1678483703.273934, 4.7284e1, 1.4981e1
1678483703.7569215, 4.7283e1, 1.4981e1
1678483704.2259378, 4.7282e1, 1.4981e1
1678483704.8582191, 4.7281e1, 1.4981e1
1678483705.2739518, 4.7281e1, 1.4981e1
1678483705.7572916, 4.7280e1, 1.4981e1
1678483706.22624, 4.7280e1, 1.4981e1
1678483706.8594263, 4.7279e1, 1.4981e1
1678483707.2740562, 4.7278e1, 1.4981e1
1678483707.7569985, 4.7277e1, 1.4981e1
1678483708.2265232, 4.7277e1, 1.4981e1
1678483708.8593373, 4.7276e1, 1.4981e1
1678483709.2740517, 4.7276e1, 1.4981e1
1678483709.7580156, 4.7276e1, 1.4981e1
1678483710.2267396, 4.7276e1, 1.4981e1
1678483710.8594491, 4.7275e1, 1.4981e1
1678483711.2741578, 4.7275e1, 1.4981e1
1678483711.7580817, 4.7273e1, 1.4981e1
1678483712.2269907, 4.7272e1, 1.4981e1
1678483712.8595278, 4.7271e1, 1.4981e1
1678483713.2750869, 4.7271e1, 1.4981e1
1678483713.758272, 4.7270e1, 1.4981e1
1678483714.2272468, 4.7270e1, 1.4981e1
1678483714.8594315, 4.7269e1, 1.4981e1
1678483715.2751048, 4.7269e1, 1.4981e1
