V (m/s),FnL,FnV,RT (N),PE (kW),CT (·10³),CP (·10³),CF (·10³),τ (°),s (mm)
2.232,0.291,0.904,38.60,0.086,3.637,0.717,2.920,0.000,0.000
2.242,0.293,0.908,38.96,0.087,3.638,0.720,2.918,0.000,0.000
2.252,0.294,0.912,39.32,0.089,3.640,0.724,2.915,0.000,0.000
2.262,0.295,0.916,39.70,0.090,3.642,0.729,2.913,0.000,0.000
2.272,0.296,0.920,40.08,0.091,3.645,0.734,2.911,0.000,0.000
2.282,0.298,0.924,40.48,0.092,3.649,0.740,2.909,0.000,0.000
2.292,0.299,0.929,40.88,0.094,3.653,0.746,2.907,0.000,0.000
2.302,0.300,0.933,41.29,0.095,3.658,0.753,2.905,0.000,0.000
2.312,0.302,0.937,41.71,0.096,3.663,0.761,2.902,0.000,0.000
2.322,0.303,0.941,42.14,0.098,3.669,0.769,2.900,0.000,0.000
2.332,0.304,0.945,42.59,0.099,3.676,0.778,2.898,0.000,0.000
2.342,0.306,0.949,43.04,0.101,3.683,0.787,2.896,0.000,0.000
2.352,0.307,0.953,43.50,0.102,3.691,0.797,2.894,0.000,0.000
2.362,0.308,0.957,43.98,0.104,3.700,0.808,2.892,0.000,0.000
2.372,0.310,0.961,44.47,0.105,3.710,0.820,2.890,0.000,0.000
2.382,0.311,0.965,44.96,0.107,3.720,0.832,2.888,0.000,0.000
2.392,0.312,0.969,45.47,0.109,3.730,0.845,2.886,0.000,0.000
2.402,0.313,0.973,45.99,0.110,3.741,0.858,2.883,0.000,0.000
2.412,0.315,0.977,46.52,0.112,3.753,0.871,2.881,0.000,0.000
2.422,0.316,0.981,47.05,0.114,3.765,0.886,2.879,0.000,0.000
2.432,0.317,0.985,47.60,0.116,3.778,0.900,2.877,0.000,0.000
2.442,0.319,0.989,48.16,0.118,3.791,0.915,2.875,0.000,0.000
2.452,0.320,0.993,48.74,0.120,3.805,0.931,2.873,0.000,0.000
2.462,0.321,0.997,49.32,0.121,3.819,0.947,2.871,0.000,0.000
2.472,0.323,1.002,49.91,0.123,3.833,0.964,2.869,0.000,0.000
2.482,0.324,1.006,50.51,0.125,3.848,0.981,2.867,0.000,0.000
2.492,0.325,1.010,51.13,0.127,3.864,0.998,2.865,0.000,0.000
2.503,0.326,1.014,51.75,0.129,3.880,1.016,2.864,0.000,0.000
2.513,0.328,1.018,52.38,0.132,3.896,1.034,2.862,0.000,0.000
2.523,0.329,1.022,53.02,0.134,3.912,1.053,2.860,0.000,0.000
2.533,0.330,1.026,53.67,0.136,3.929,1.071,2.858,0.000,0.000
2.543,0.332,1.030,54.33,0.138,3.946,1.090,2.856,0.000,0.000
2.553,0.333,1.034,55.00,0.140,3.963,1.109,2.854,0.000,0.000
2.563,0.334,1.038,55.67,0.143,3.980,1.128,2.852,0.000,0.000
2.573,0.336,1.042,56.34,0.145,3.997,1.147,2.850,0.000,0.000
2.583,0.337,1.046,57.02,0.147,4.014,1.166,2.848,0.000,0.000
2.593,0.338,1.050,57.71,0.150,4.031,1.185,2.846,0.000,0.000
2.603,0.340,1.054,58.39,0.152,4.047,1.203,2.845,0.000,0.000
2.613,0.341,1.058,59.08,0.154,4.064,1.221,2.843,0.000,0.000
2.623,0.342,1.062,59.77,0.157,4.080,1.239,2.841,0.000,0.000
2.633,0.343,1.066,60.46,0.159,4.096,1.257,2.839,0.000,0.000
2.643,0.345,1.070,61.16,0.162,4.112,1.275,2.837,0.000,0.000
2.653,0.346,1.075,61.87,0.164,4.128,1.293,2.835,0.000,0.000
2.663,0.347,1.079,62.57,0.167,4.144,1.310,2.834,0.000,0.000
2.673,0.349,1.083,63.28,0.169,4.159,1.327,2.832,0.000,0.000
2.683,0.350,1.087,63.98,0.172,4.174,1.344,2.830,0.000,0.000
2.693,0.351,1.091,64.68,0.174,4.189,1.360,2.828,0.000,0.000
2.703,0.353,1.095,65.39,0.177,4.203,1.377,2.826,0.000,0.000
2.713,0.354,1.099,66.10,0.179,4.217,1.393,2.825,0.000,0.000
2.723,0.355,1.103,66.81,0.182,4.231,1.408,2.823,0.000,0.000
2.733,0.357,1.107,67.52,0.185,4.245,1.424,2.821,0.000,0.000
2.743,0.358,1.111,68.23,0.187,4.258,1.439,2.819,0.000,0.000
2.753,0.359,1.115,68.93,0.190,4.271,1.453,2.818,0.000,0.000
2.763,0.360,1.119,69.63,0.192,4.283,1.467,2.816,0.000,0.000
2.773,0.362,1.123,70.33,0.195,4.295,1.481,2.814,0.000,0.000
2.783,0.363,1.127,71.03,0.198,4.306,1.494,2.813,0.000,0.000
2.793,0.364,1.131,71.73,0.200,4.318,1.507,2.811,0.000,0.000
2.803,0.366,1.135,72.43,0.203,4.329,1.520,2.809,0.000,0.000
2.813,0.367,1.139,73.13,0.206,4.340,1.532,2.807,0.000,0.000
2.823,0.368,1.143,73.83,0.208,4.350,1.544,2.806,0.000,0.000
2.833,0.370,1.148,74.53,0.211,4.360,1.556,2.804,0.000,0.000
2.843,0.371,1.152,75.23,0.214,4.370,1.568,2.802,0.000,0.000
2.853,0.372,1.156,75.92,0.217,4.380,1.579,2.801,0.000,0.000
2.863,0.373,1.160,76.62,0.219,4.389,1.590,2.799,0.000,0.000
2.873,0.375,1.164,77.31,0.222,4.398,1.601,2.798,0.000,0.000
2.883,0.376,1.168,78.01,0.225,4.407,1.611,2.796,0.000,0.000
2.893,0.377,1.172,78.70,0.228,4.415,1.621,2.794,0.000,0.000
2.903,0.379,1.176,79.39,0.230,4.423,1.631,2.793,0.000,0.000
2.913,0.380,1.180,80.08,0.233,4.431,1.640,2.791,0.000,0.000
2.923,0.381,1.184,80.77,0.236,4.439,1.649,2.789,0.000,0.000
2.933,0.383,1.188,81.45,0.239,4.446,1.658,2.788,0.000,0.000
2.943,0.384,1.192,82.14,0.242,4.453,1.667,2.786,0.000,0.000
2.953,0.385,1.196,82.82,0.245,4.459,1.675,2.785,0.000,0.000
2.963,0.387,1.200,83.50,0.247,4.466,1.683,2.783,0.000,0.000
2.973,0.388,1.204,84.18,0.250,4.472,1.690,2.781,0.000,0.000
2.983,0.389,1.208,84.85,0.253,4.477,1.697,2.780,0.000,0.000
2.993,0.390,1.212,85.52,0.256,4.483,1.704,2.778,0.000,0.000
3.003,0.392,1.216,86.19,0.259,4.487,1.711,2.777,0.000,0.000
3.013,0.393,1.220,86.85,0.262,4.492,1.717,2.775,0.000,0.000
3.023,0.394,1.225,87.51,0.265,4.496,1.722,2.774,0.000,0.000
3.033,0.396,1.229,88.16,0.267,4.500,1.728,2.772,0.000,0.000
3.043,0.397,1.233,88.82,0.270,4.503,1.733,2.771,0.000,0.000
3.053,0.398,1.237,89.47,0.273,4.507,1.738,2.769,0.000,0.000
3.063,0.400,1.241,90.12,0.276,4.510,1.742,2.768,0.000,0.000
3.073,0.401,1.245,90.77,0.279,4.513,1.747,2.766,0.000,0.000
3.083,0.402,1.249,91.41,0.282,4.515,1.751,2.765,0.000,0.000
3.093,0.404,1.253,92.06,0.285,4.518,1.755,2.763,0.000,0.000
3.103,0.405,1.257,92.70,0.288,4.520,1.758,2.762,0.000,0.000
3.113,0.406,1.261,93.34,0.291,4.522,1.762,2.760,0.000,0.000
3.123,0.407,1.265,93.97,0.293,4.524,1.765,2.759,0.000,0.000
3.133,0.409,1.269,94.61,0.296,4.525,1.768,2.757,0.000,0.000
3.143,0.410,1.273,95.24,0.299,4.526,1.771,2.756,0.000,0.000
3.153,0.411,1.277,95.87,0.302,4.527,1.773,2.754,0.000,0.000
3.163,0.413,1.281,96.50,0.305,4.528,1.775,2.753,0.000,0.000
3.173,0.414,1.285,97.12,0.308,4.529,1.777,2.751,0.000,0.000
3.183,0.415,1.289,97.75,0.311,4.529,1.779,2.750,0.000,0.000
3.193,0.417,1.293,98.37,0.314,4.530,1.781,2.748,0.000,0.000
3.203,0.418,1.298,98.99,0.317,4.530,1.783,2.747,0.000,0.000
3.213,0.419,1.302,99.61,0.320,4.530,1.784,2.746,0.000,0.000
3.223,0.421,1.306,100.2,0.323,4.529,1.785,2.744,0.000,0.000
3.233,0.422,1.310,100.8,0.326,4.529,1.786,2.743,0.000,0.000
3.243,0.423,1.314,101.4,0.329,4.528,1.787,2.741,0.000,0.000
3.253,0.424,1.318,102.1,0.332,4.528,1.788,2.740,0.000,0.000
3.263,0.426,1.322,102.7,0.335,4.527,1.788,2.739,0.000,0.000
3.273,0.427,1.326,103.3,0.338,4.526,1.789,2.737,0.000,0.000
3.283,0.428,1.330,103.9,0.341,4.525,1.789,2.736,0.000,0.000
3.293,0.430,1.334,104.5,0.344,4.523,1.789,2.734,0.000,0.000
3.303,0.431,1.338,105.1,0.347,4.522,1.789,2.733,0.000,0.000
3.313,0.432,1.342,105.7,0.350,4.520,1.789,2.732,0.000,0.000
3.323,0.434,1.346,106.3,0.353,4.519,1.788,2.730,0.000,0.000
3.333,0.435,1.350,106.9,0.356,4.517,1.788,2.729,0.000,0.000
3.343,0.436,1.354,107.5,0.359,4.515,1.787,2.728,0.000,0.000
